Lang	WordExt
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	2
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	3
BE	4
BE	4
BE	4
BE	4
BE	4
BE	4
BE	4
BE	4
BE	4
BE	4
BE	4
BE	4
BE	5
BE	5
